drug,threshold,nb_model,nb_treat_all
Paclitaxel,0.08,0.004658385126924111,0.029503105674453134
Paclitaxel,0.09,-0.035321820997291566,0.018838304649628226
Paclitaxel,0.09999999999999999,-0.03571428567460318,0.007936508046737206
Paclitaxel,0.10999999999999999,-0.035313001565458906,-0.0032102727492019506
Paclitaxel,0.12,-0.038961038916765056,-0.014610389472033664
Paclitaxel,0.13,-0.04269293919559104,-0.026272577843364883
Paclitaxel,0.13999999999999999,-0.04651162785289345,-0.03820597989743492
Paclitaxel,0.14999999999999997,-0.05042016800790903,-0.050420167881858616
Paclitaxel,0.15999999999999998,-0.05442176864269516,-0.06292516986556525
Paclitaxel,0.16999999999999998,-0.05120481921541587,-0.07573149719791385
Paclitaxel,0.18,-0.05487804871356335,-0.08885017397701199
Paclitaxel,0.19,-0.058641975236244474,-0.10229276870087313
Paclitaxel,0.19999999999999996,-0.06249999992187499,-0.1160714282924107
Paclitaxel,0.20999999999999996,-0.0664556961184105,-0.13019891470860895
Paclitaxel,0.21999999999999997,-0.07051282042241945,-0.14468864436578377
Paclitaxel,0.22999999999999998,-0.07467532457834374,-0.15955473063694192
Paclitaxel,0.24,-0.07894736831717451,-0.17481202970419468
Paclitaxel,0.24999999999999994,-0.08333333322222221,-0.19047619007936506
Paclitaxel,0.25999999999999995,-0.08783783771913804,-0.20656370613977876
Paclitaxel,0.26999999999999996,-0.09246575329799211,-0.22309197606425757
Paclitaxel,0.27999999999999997,-0.09722222208719136,-0.24007936459711204
Paclitaxel,0.29,-0.10211267591251735,-0.2575452711161334
Paclitaxel,0.3,-0.10714285698979592,-0.27551020353498545
Paclitaxel,0.30999999999999994,-0.11231884041692919,-0.29399585863189
Paclitaxel,0.31999999999999995,-0.11764705865051901,-0.3130252094661393
Paclitaxel,0.32999999999999996,-0.12313432817442636,-0.3326226006229513
Paclitaxel,0.33999999999999997,-0.12878787859274562,-0.35281385211694866
Paclitaxel,0.3499999999999999,-0.13461538440828397,-0.37362637288672845
Paclitaxel,0.35999999999999993,-0.1406249997802734,-0.3950892849295479
Paclitaxel,0.36999999999999994,-0.1468253965923406,-0.4172335592583593
Paclitaxel,0.37999999999999995,-0.13133640531812096,-0.4400921650159802
Paclitaxel,0.38999999999999996,-0.13700234169578068,-0.46370023325622906
Paclitaxel,0.3999999999999999,-0.14285714261904756,-0.48809523710317443
Paclitaxel,0.4099999999999999,-0.14891041136988545,-0.5133171902316657
Paclitaxel,0.41999999999999993,-0.15517241352556477,-0.5394088658803294
Paclitaxel,0.42999999999999994,-0.16165413505474208,-0.5664160389185683
Paclitaxel,0.43999999999999995,-0.1683673466381195,-0.5943877538493075
Paclitaxel,0.4499999999999999,-0.17532467500590312,-0.623376622048406
Paclitaxel,0.4599999999999999,-0.18253968220164604,-0.6534391520306682
Paclitaxel,0.4699999999999999,-0.1900269538193561,-0.6846361171044602
Paclitaxel,0.4799999999999999,-0.1978021974218089,-0.7170329654480134
Paclitaxel,0.48999999999999994,-0.20588235253748555,-0.7507002784299994
Paclitaxel,0.49999999999999994,-0.21428571385714285,-0.7857142839285715
Paclitaxel,0.5099999999999999,-0.22303206951567786,-0.8221574325058008
Paclitaxel,0.5199999999999999,-0.23214285665922607,-0.8601190456039183
Paclitaxel,0.5299999999999999,-0.24164133687188763,-0.899696046490008
Paclitaxel,0.5399999999999999,-0.25155279448420187,-0.9409937865413175
Paclitaxel,0.5499999999999999,-0.26190476132275126,-0.9841269817019399
Paclitaxel,0.5599999999999999,-0.2727272721074379,-1.0292207766381343
Paclitaxel,0.57,-0.28405315548559057,-1.0764119573804372
Paclitaxel,0.58,-0.29591836664237114,-1.125850337200356
Paclitaxel,0.59,-0.25696864048822976,-1.1777003452982917
Paclitaxel,0.6,-0.26785714218749995,-1.2321428537946426
Docetaxel,0.05,0.06526315791024931,0.07368421057506924
Docetaxel,0.06,0.06212765959348121,0.0638297872937981
Docetaxel,0.07,0.05892473120545727,0.053763440931437145
Docetaxel,0.08,0.055652173939508505,0.043478260952741016
Docetaxel,0.09,0.052307692338123414,0.03296703306267358
Docetaxel,0.09999999999999999,0.04888888892345679,0.022222222330864197
Docetaxel,0.10999999999999999,0.005393258465850273,0.011235955178386575
Docetaxel,0.12,0.0018181818615702408,1.3636362872215813e-10
Docetaxel,0.13,-0.0018390804116792253,-0.011494252722420412
Docetaxel,0.13999999999999999,0.000930232603569503,-0.023255813786911855
Docetaxel,0.14999999999999997,0.0047058823944636785,-0.03529411746435984
Docetaxel,0.15999999999999998,0.009523809560090708,-0.0476190474195011
Docetaxel,0.16999999999999998,0.00722891570213384,-0.06024096363826387
Docetaxel,0.18,0.004878048823319457,-0.073170731471743
Docetaxel,0.19,0.0024691358488035386,-0.08641975283158054
Docetaxel,0.19999999999999996,5.0000011075912454e-11,-0.09999999972499996
Docetaxel,0.20999999999999996,-0.002531645515782721,-0.11392405033680497
Docetaxel,0.21999999999999997,-0.005128205070348446,-0.12820512788691646
Docetaxel,0.22999999999999998,-0.0077922077301399925,-0.14285714251576997
Docetaxel,0.24,-0.010526315722991689,-0.1578947364764543
Docetaxel,0.24999999999999994,-0.013333333262222212,-0.1733333329422222
Docetaxel,0.25999999999999995,-0.016216216140248346,-0.18918918877136592
Docetaxel,0.26999999999999996,-0.019178082110714957,-0.20547945160893227
Docetaxel,0.27999999999999997,-0.022222222135802473,-0.22222222174691358
Docetaxel,0.29,-0.025352112584011106,-0.2394366192120611
Docetaxel,0.3,-0.02857142847346939,-0.25714285660408165
Docetaxel,0.30999999999999994,-0.03188405786683469,-0.2753623182675908
Docetaxel,0.31999999999999995,-0.035294117536332166,-0.2941176464498269
Docetaxel,0.32999999999999996,-0.03880597003163288,-0.3134328351739808
Docetaxel,0.33999999999999997,-0.0424242422993572,-0.3333333326464646
Docetaxel,0.3499999999999999,-0.04615384602130174,-0.35384615311715956
Docetaxel,0.35999999999999993,-0.049999999859374984,-0.3749999992265624
Docetaxel,0.36999999999999994,-0.053968253819097985,-0.39682539600503886
Docetaxel,0.37999999999999995,-0.05806451597086366,-0.41935483783975014
Docetaxel,0.38999999999999996,-0.06229508179951624,-0.4426229498973393
Docetaxel,0.3999999999999999,-0.06666666648888886,-0.4666666656888887
Docetaxel,0.4099999999999999,-0.07118644048951447,-0.49152542269232957
Docetaxel,0.41999999999999993,-0.07586206876575502,-0.5172413782116526
Docetaxel,0.42999999999999994,-0.050526315630655565,-0.5438596479581408
Docetaxel,0.43999999999999995,-0.054285714117346916,-0.5714285701938775
Docetaxel,0.4499999999999999,-0.05818181800330575,-0.5999999986909089
Docetaxel,0.4599999999999999,-0.06222222203292179,-0.6296296282414265
Docetaxel,0.4699999999999999,-0.030943396092559618,-0.6603773570181558
Docetaxel,0.4799999999999999,-0.033846153704142005,-0.692307690745562
Docetaxel,0.48999999999999994,-0.03686274494732795,-0.7254901944206074
Docetaxel,0.49999999999999994,-0.03999999984,-0.75999999824
Docetaxel,0.5099999999999999,-0.04326530595251974,-0.7959183654777171
