SAMPLE_ID,Cisplatin_1005,Docetaxel_1007,Paclitaxel_1080,Gemcitabine_1190,Tamoxifen_1199,Lapatinib_1558,Vinblastine_1004,OSI-027_1594,Daporinad_1248,Venetoclax_1909,ABT737_1910,AZD5991_1720,Fulvestrant_1816
MB-0144,1.1392347,-7.722933,-3.1468165,-8.548025,5.2682796,6.7063065,-11.342668,0.6812005,-9.404783,-2.4554935,-6.9047813,-4.8977165,3.8747098
MB-0596,0.628398,-7.941999,-4.4286265,-7.5041485,2.6096432,5.157855,-12.223406,-6.129411,-7.855057,-3.8605607,-5.599325,-5.3596973,3.5133147
MB-0164,2.9176526,-7.0948467,-2.769229,-5.1322823,3.8893192,6.9909105,-11.464338,-4.9068346,-5.623227,-2.5597048,-6.6949725,-5.0949507,4.827868
MB-0215,-0.065339446,-8.435713,-3.456857,-7.9079733,2.4907942,5.177829,-13.212869,-2.126188,-8.489033,-3.1741269,-7.5200577,-5.737361,3.2640083
MB-0146,2.6560607,-5.2700286,-1.6360774,-3.0794764,4.463378,4.8150854,-9.566451,-5.504656,-7.4330306,-0.4516648,-4.163942,-3.1526327,4.60575
MB-0229,-0.1798991,-8.215235,-5.5736103,-7.331568,1.7639307,2.9271238,-14.864321,-5.6843104,-4.8354063,-2.722384,-6.193306,-6.2237625,3.418949
MB-0505,-0.9917352,-9.56462,-6.1418085,-11.442226,1.8499861,4.6730843,-15.473169,-9.15134,-4.9344225,-3.6312017,-6.722504,-8.270468,2.9523659
MB-0102,0.27579105,-8.442906,-5.0387044,-11.62447,3.2484195,4.0565953,-13.322613,-7.7548122,-4.307496,-1.2536907,-7.487859,-5.742114,3.8395915
MB-0569,-1.0373312,-8.4277115,-5.3690395,-10.875001,2.257577,2.7612336,-14.540033,-8.855507,-5.2269716,-3.138581,-3.71519,-6.0273075,2.7274833
MB-0516,3.2386422,-5.4309173,-0.61431074,-4.1280875,4.656935,8.629353,-9.952206,6.47875,-11.168781,-2.7582412,-7.063647,-0.8714514,6.3099785
MB-0272,0.9276744,-6.986689,-2.9902592,-6.9048696,3.522925,4.5801272,-11.877839,-4.0854063,-8.512281,-1.8159115,-6.8974633,-5.6292305,3.6081958
MB-0585,0.08656323,-7.6091833,-4.5722833,-10.253931,3.5945673,2.4883485,-13.664463,-10.182913,-1.7119155,-0.8446269,-3.2731051,-5.0433717,4.5378537
MB-0494,0.71294224,-7.546051,-2.4149418,-9.03047,4.4157567,6.4923935,-11.290763,2.5347757,-8.250847,-3.8809524,-6.366242,-2.7344112,4.7927256
MB-0306,0.18416572,-9.3823,-4.7737455,-6.9371834,2.5332034,6.3777742,-13.487292,-0.013010979,-7.685263,-3.7824836,-9.585116,-4.2574196,3.1161819
MB-0463,-0.68289626,-8.726187,-5.931035,-8.998035,1.5050368,3.2332034,-14.436202,-8.84161,-6.5111475,-2.518945,-5.848511,-6.6019487,3.2164264
MB-0198,-1.218444,-8.553417,-5.384754,-12.031727,2.5396948,3.2381697,-13.9580965,-5.867704,-8.3557205,-2.612184,-4.8785076,-6.0087185,3.358648
MB-0203,-0.8801676,-7.406807,-2.8905056,-9.218091,3.195996,5.1449,-13.06561,-2.3838768,-7.0205326,-4.039062,-5.4934864,-6.3796806,3.679401
MB-0607,0.6820393,-8.026843,-4.384006,-8.282434,2.734119,5.2605753,-13.938199,-6.404087,-5.431857,-2.9789724,-5.158989,-5.759033,4.0906563
MB-0631,1.6900617,-7.5458565,-4.4321065,-6.318993,3.134289,6.117281,-12.821166,-2.5649638,-6.8973494,-2.829302,-7.4752874,-4.7819047,4.505056
MB-0363,0.022041917,-7.840457,-3.557141,-8.500431,1.9841219,4.2571006,-12.558268,-1.1763945,-8.478188,-3.8362176,-5.8950167,-3.4023194,3.4092405
MB-0427,1.2284873,-6.042305,-1.4945366,-5.2425547,4.3641562,6.1602974,-9.856457,-2.5786934,-10.935238,-2.2133193,-6.841296,-1.5855353,4.3945737
MB-0519,1.9412745,-6.987876,-3.355714,-7.159219,3.9773614,5.6319532,-12.606801,-4.4974775,-4.035162,-2.9672692,-6.1035705,-5.875802,4.6934056
MB-0371,1.9882717,-7.464547,-4.6193986,-4.2915106,3.9874506,2.154256,-11.803912,-6.150824,-6.3828845,-2.137106,-2.5948966,-6.9073963,3.0983286
MB-0380,1.1428683,-5.0479054,-1.9894807,-6.5547004,5.0927734,4.5751667,-10.201336,2.8166027,-9.47476,-1.8717905,-4.1500573,-1.1383617,5.474059
MB-0221,-0.1250068,-10.100505,-5.990515,-8.241691,1.9615197,5.361517,-15.185051,-0.23095655,-9.812044,-4.0337515,-7.0140767,-5.500121,2.6220412
MB-0348,3.0136147,-5.975235,-2.4915326,-2.9028978,4.038542,4.204548,-9.562538,-0.7088723,-8.536188,-0.48284817,-7.190035,-4.454202,4.3968725
MB-0261,0.10399538,-7.5354414,-4.1268954,-9.055405,3.4709463,4.4681387,-13.272686,-1.8381691,-8.095846,-2.4329,-8.128185,-5.8315735,3.22536
MB-0576,0.9721435,-5.078343,-1.0360193,-6.5658617,3.6357074,5.8214555,-10.13426,-6.2791877,-6.814333,-3.0631404,-5.8978724,-4.8070383,3.9630768
MB-0385,2.7860417,-4.9591026,-2.197282,-2.9835577,4.080354,5.3221416,-10.138675,-6.0240707,-7.7588425,-1.4516966,-4.954878,-1.750673,5.183227
MB-0659,3.3855457,-6.3779783,-3.0869024,-3.7434597,4.506687,7.865672,-11.559097,-11.289333,-6.526215,-0.5278392,-4.097662,-2.4777281,5.1205487
MB-0270,1.6494809,-6.6305714,-1.7668884,-7.3011394,4.7298546,4.550043,-9.158444,-2.4058416,-7.2210345,-0.57006514,-4.071525,-0.15228176,4.9374566
MB-0379,-1.388641,-9.353471,-5.270811,-10.5335865,1.9216249,4.4144917,-14.802028,-3.8255749,-6.608807,-4.2757463,-4.6294155,-3.5095994,3.1299233
MB-0432,0.5846783,-7.7960987,-2.9986963,-8.346397,3.9680057,7.8152456,-12.494473,7.6856003,-7.895009,-6.761704,-5.9138746,-2.4930775,4.8717146
MB-0527,3.0842185,-7.2536345,-4.259885,-4.202931,4.3438854,4.899785,-10.99082,-5.2337103,-7.1408,-1.1753298,-4.3000326,-4.220805,4.692413
MB-0624,0.8686771,-8.373098,-5.0287037,-9.73216,4.215517,6.438996,-13.036702,-0.102226734,-6.938789,-3.201058,-6.095687,-5.313715,4.8633723
MB-0273,-0.41258407,-9.247275,-6.359296,-9.914745,3.040174,2.9823275,-14.175979,-1.0113416,-9.704212,-2.333761,-5.817666,-3.4966254,3.7620525
MB-0050,1.2225838,-8.370043,-4.934433,-8.612293,3.9325747,5.811485,-13.598248,-7.0658746,-6.3854876,-1.7969902,-5.88731,-5.279703,4.2464266
MB-0460,0.16741705,-8.862347,-4.4496164,-8.173775,3.274962,6.366782,-13.632039,-2.4249353,-7.013664,-4.1847177,-5.0510216,-5.63762,4.120744
MB-0654,0.74170434,-7.555794,-4.817395,-8.608682,3.4348927,4.591285,-13.106186,-9.549804,-5.908663,-1.1388927,-6.239809,-6.9094076,3.5822651
MB-0454,3.6235852,-6.390071,-3.8474307,-4.5417657,5.467749,4.5537295,-10.301674,-11.002291,-6.3644195,2.2920613,-5.2487135,-3.8465362,4.213112
MB-0392,1.667294,-6.6703315,-3.4027398,-6.678856,3.728949,5.9498014,-12.166693,-1.194191,-8.157862,-2.4213197,-6.3021407,-5.8320384,5.1127796
MB-0336,1.3535058,-6.364523,-3.7875035,-6.421902,4.681632,3.7360396,-10.327454,-3.2329342,-7.7573504,-0.2313366,-1.5234947,-1.5736997,5.517437
MB-0467,1.6861871,-7.722357,-4.6342015,-4.8576775,3.1716988,2.6953464,-12.235107,-8.082611,-8.824234,-1.4845064,-4.917115,-4.698509,4.0371866
MB-0349,0.037119985,-9.368946,-6.5678577,-6.268368,1.596838,2.979106,-15.470367,-4.548783,-6.927383,-2.371002,-5.1971536,-3.1439412,3.3902028
MB-0378,2.3992834,-5.415487,0.041238785,-6.9879804,7.2309513,9.778182,-8.42099,17.932817,-18.984245,-3.2269197,-6.804303,1.9105616,6.244419
MB-0176,2.1946592,-7.4308796,-5.1296554,-4.5108514,3.825001,5.296736,-11.86271,-6.979414,-6.6708856,-1.2517694,-4.3985424,-5.4428797,4.9620113
MB-0429,2.3205097,-5.673871,-1.204556,-2.3621345,3.9522727,6.0420656,-9.919395,-3.4073439,-10.69747,-1.6726172,-4.2097774,-2.299024,4.101627
MB-0397,0.057545185,-7.9883704,-5.011938,-10.322985,2.617247,3.5735145,-13.831866,-8.761941,-3.747891,-0.90614605,-3.3080997,-3.58374,3.7903051
MB-0571,-0.7248479,-7.909856,-4.6200266,-10.222052,2.3567224,3.8046234,-15.072913,-4.3607283,-7.2829146,-3.6148362,-5.1091065,-4.7602534,3.2510967
MB-0426,0.1536609,-7.9997597,-4.268392,-8.267618,3.3437924,4.180477,-12.010455,-2.9108315,-10.552759,-2.0787897,-6.3746786,-3.2772174,4.099398
MB-0135,1.7848864,-5.9521294,-2.2782521,-4.3468323,3.7234416,3.8599806,-9.650701,-5.546431,-8.297361,-1.027068,-4.3324833,-3.1917706,4.393846
MB-0112,1.0475659,-9.234064,-5.853021,-5.050196,3.9822412,4.7346544,-12.486877,-3.1713223,-9.751971,-1.1434591,-6.0834846,-3.9937515,3.5636797
MB-0352,0.92971736,-7.5089736,-2.4327183,-7.33138,3.9157696,6.653303,-11.51211,0.9652562,-7.0063095,-4.0594482,-5.174561,-2.1506715,5.205476
MB-0644,0.5393089,-8.621741,-4.514822,-7.871663,3.395586,7.5383015,-13.762051,-0.31869698,-8.398466,-4.8849125,-6.7916665,-6.67676,3.98088
MB-0601,0.0996024,-7.9365234,-4.6236367,-9.553354,3.0273252,3.3363066,-13.62176,-4.0009108,-5.4698353,-1.8466597,-2.7975163,-2.7676432,4.75346
MB-0568,1.0447457,-8.404267,-4.345548,-7.1504016,3.254116,5.979186,-12.343979,-2.4598145,-7.5993085,-2.4475865,-8.038735,-5.3800335,3.7887378
MB-0328,0.45571846,-6.8799896,-3.6158245,-7.668356,3.4523199,4.096045,-12.187918,-1.3487849,-8.304386,-2.2225585,-3.8750653,-3.506332,4.369219
MB-0325,3.4447794,-5.7103558,-0.83666825,-2.6977987,5.9977603,8.420437,-8.048689,7.345372,-12.745089,-1.6321559,-5.4187694,1.2459679,5.3258896
MB-0358,0.103285134,-7.3035884,-3.1900208,-10.202986,3.4762068,5.1938114,-11.788583,1.4300966,-8.413394,-3.6617265,-5.207189,-2.648477,3.9587948
MB-0413,1.3838785,-7.2981358,-4.027912,-6.6933174,2.9293108,3.9940934,-12.095234,-6.14934,-5.4095664,-1.8813097,-6.863159,-4.7632113,3.9081156
MB-0158,1.3930509,-8.28907,-4.094742,-7.462,3.5554185,5.653882,-12.034448,2.7699614,-8.458585,-3.2230656,-6.53017,-1.0370677,4.6830034
MB-0636,2.0244372,-8.078691,-3.975415,-6.6186485,4.295588,5.2166076,-11.530908,-1.911149,-7.8255477,-2.2078304,-6.3681726,-4.454912,4.7262707
MB-0145,0.24791145,-9.996061,-7.334755,-11.179427,3.3233035,4.2678537,-14.43816,-9.223852,-6.447173,-1.644688,-4.4556103,-5.758257,3.2758377
MB-0195,1.267483,-7.8098226,-4.7398815,-7.5268726,3.752429,1.3003225,-13.343333,-8.559436,-2.731566,0.5382197,-3.152617,-4.8055906,3.5925808
MB-0422,0.77052706,-7.671224,-4.135943,-7.116156,2.4065168,4.834028,-13.269935,-2.39046,-2.7484832,-2.5161223,-5.737023,-3.664824,4.503754
MB-0483,2.679472,-5.905489,-1.1632438,-4.7903566,3.8582358,6.127009,-9.77087,-1.9108746,-4.7271304,-1.7378303,-4.3993087,-2.9616652,5.014821
MB-0317,1.1978838,-7.1122284,-2.6174784,-5.813669,3.1680777,5.5547934,-10.538837,1.4018722,-8.04228,-2.8658016,-6.7961683,-3.9585285,4.937523
MB-0486,1.90551,-8.006475,-4.1660314,-6.5592475,3.9681263,5.561752,-12.014189,-5.4322686,-6.501755,-1.7058618,-4.8407927,-4.5659637,4.3980336
MB-0139,1.6531618,-8.089796,-5.5442376,-8.320124,3.5517306,4.895811,-13.009659,-8.567228,-5.59414,-2.02219,-5.0249424,-5.3275213,4.4734898
MB-0257,0.44763327,-8.924942,-5.355134,-9.41,2.7387047,4.258725,-14.092693,-5.8368263,-5.984243,-1.4060752,-4.992138,-3.885314,3.6200178
MB-0345,1.0029836,-8.3740225,-5.929817,-7.0664444,2.9730403,3.8946276,-13.217132,-4.918051,-6.9935513,-2.1135018,-4.9302654,-3.7260091,4.2746544
MB-0375,1.6519297,-7.633113,-3.3967066,-8.938709,4.301177,7.220017,-12.629013,-4.012966,-6.7619443,-2.1624618,-7.204706,-4.365892,4.8886147
MB-0419,1.174421,-6.3527956,-3.2966537,-8.1766615,4.1173677,3.2528167,-10.688267,-4.093361,-9.460596,-1.5721452,-3.0830586,-1.9867868,4.6174445
MB-0480,2.224711,-6.761816,-4.0105705,-7.643444,4.559295,4.456043,-11.2469425,-8.2583,-7.0609536,-0.49067312,-3.1449654,-3.4238138,5.1366625
MB-0311,1.2612776,-8.183591,-5.667106,-8.999504,3.87988,1.7238326,-12.281495,-10.3590355,-4.949175,1.1991136,-3.616676,-5.1639414,4.105621
MB-0324,2.730206,-6.462659,-4.025229,-3.096036,2.5791135,2.5344987,-11.847784,-10.203543,-5.357058,-0.57198197,-4.3782344,-6.0182657,4.485326
